block	trial	material	style	lg_flight
1	1	construction	stable	0.7466879474879751
1	2	construction	stable	1.4085449700547104
1	3	construction	stable	0.6729444732424258
2	1	printer	stable	0.5653138090500605
2	2	printer	stable	0.04879016416943205
2	3	printer	stable	0.36464311358790924
3	1	construction	basic	1.0438040521731147
3	2	construction	basic	0.8064758658669485
3	3	construction	basic	1.4861396960896067
4	1	printer	stable	-0.07257069283483537
4	2	printer	stable	0.7793248768009977
4	3	printer	stable	0.5128236264286637
5	1	notebook	stable	1.3001916620664788
5	2	notebook	stable	0.36464311358790924
5	3	notebook	stable	1.0438040521731147
6	1	construction	basic	0.9360933591703348
6	2	construction	basic	1.3887912413184778
6	3	construction	basic	1.5390154481375546
7	1	printer	dart	0.1570037488096647
7	2	printer	dart	0.04879016416943205
7	3	printer	dart	0.131028262406404
8	1	construction	stable	1.1249295969854831
8	2	construction	stable	0.7884573603642703
8	3	construction	stable	0.6981347220709843
9	1	construction	dart	0.7419373447293773
9	2	construction	dart	0.27763173659827955
9	3	construction	dart	0.30010459245033816
10	1	printer	basic	1.4085449700547104
10	2	printer	basic	0
10	3	printer	basic	1.3762440252663892
11	1	printer	dart	-0.09431067947124129
11	2	printer	dart	0.03922071315328133
11	3	printer	dart	0.131028262406404
12	1	printer	stable	0.6043159668533296
12	2	printer	stable	0.4252677354043441
12	3	printer	stable	1.1537315878891892
13	1	notebook	basic	1.0681530811834012
13	2	notebook	basic	0.8878912573524571
13	3	notebook	basic	0.883767540168595
14	1	notebook	stable	0.3364722366212129
14	2	notebook	stable	0.10436001532424286
14	3	notebook	stable	0.5822156198526637
15	1	notebook	basic	1.2296405510745139
15	2	notebook	basic	1.2412685890696329
15	3	notebook	basic	1.3862943611198906
16	1	notebook	dart	-0.08338160893905101
16	2	notebook	dart	0.2700271372130602
16	3	notebook	dart	0.10436001532424286
17	1	notebook	stable	0.6043159668533296
17	2	notebook	stable	0.29266961396282004
17	3	notebook	stable	1.2178757094949273
18	1	printer	basic	1.1410330045520618
18	2	printer	basic	1.075002423028976
18	3	printer	basic	1.2029723039923526
19	1	construction	basic	1.1568811967920856
19	2	construction	basic	1.3837912309017721
19	3	construction	basic	1.556037135706985
20	1	notebook	dart	0.009950330853168092
20	2	notebook	dart	0.10436001532424286
20	3	notebook	dart	-0.12783337150988489
21	1	printer	dart	-0.18632957819149348
21	2	printer	dart	-0.030459207484708574
21	3	printer	dart	0.13976194237515863
22	1	notebook	basic	1.47932922708708
22	2	notebook	basic	0.9669838461896731
22	3	notebook	basic	1.2837077723447896
23	1	construction	dart	0.10436001532424286
23	2	construction	dart	0.47000362924573563
23	3	construction	dart	0.30010459245033816
24	1	construction	stable	1.3887912413184778
24	2	construction	stable	0.14842000511827322
24	3	construction	stable	1.000631880307906
25	1	notebook	dart	0.25464221837358075
25	2	notebook	dart	0
25	3	notebook	dart	0
26	1	printer	basic	1.4279160358107101
26	2	printer	basic	1.0260415958332743
26	3	printer	basic	1.275362800412609
27	1	construction	dart	0.6626879730752367
27	2	construction	dart	0.4885800148186709
27	3	construction	dart	0.3148107398400336
