block,material,style,trial,flight_time
13,notebook,basic,1,2.91
15,notebook,basic,1,3.42
22,notebook,basic,1,4.39
16,notebook,dart,1,0.92
20,notebook,dart,1,1.01
25,notebook,dart,1,1.29
5,notebook,stable,1,3.67
14,notebook,stable,1,1.4
17,notebook,stable,1,1.83
10,printer,basic,1,4.09
18,printer,basic,1,3.13
26,printer,basic,1,4.17
7,printer,dart,1,1.17
11,printer,dart,1,0.91
21,printer,dart,1,0.83
2,printer,stable,1,1.76
4,printer,stable,1,0.93
12,printer,stable,1,1.83
3,construction,basic,1,2.84
6,construction,basic,1,2.55
19,construction,basic,1,3.18
9,construction,dart,1,2.1
23,construction,dart,1,1.11
27,construction,dart,1,1.94
1,construction,stable,1,2.11
8,construction,stable,1,3.08
24,construction,stable,1,4.01
13,notebook,basic,2,2.43
15,notebook,basic,2,3.46
22,notebook,basic,2,2.63
16,notebook,dart,2,1.31
20,notebook,dart,2,1.11
25,notebook,dart,2,1
5,notebook,stable,2,1.44
14,notebook,stable,2,1.11
17,notebook,stable,2,1.34
10,printer,basic,2,1
18,printer,basic,2,2.93
26,printer,basic,2,2.79
7,printer,dart,2,1.05
11,printer,dart,2,1.04
21,printer,dart,2,0.97
2,printer,stable,2,1.05
4,printer,stable,2,2.18
12,printer,stable,2,1.53
3,construction,basic,2,2.24
6,construction,basic,2,4.01
19,construction,basic,2,3.99
9,construction,dart,2,1.32
23,construction,dart,2,1.6
27,construction,dart,2,1.63
1,construction,stable,2,4.09
8,construction,stable,2,2.2
24,construction,stable,2,1.16
13,notebook,basic,3,2.42
15,notebook,basic,3,4
22,notebook,basic,3,3.61
16,notebook,dart,3,1.11
20,notebook,dart,3,0.88
25,notebook,dart,3,1
5,notebook,stable,3,2.84
14,notebook,stable,3,1.79
17,notebook,stable,3,3.38
10,printer,basic,3,3.96
18,printer,basic,3,3.33
26,printer,basic,3,3.58
7,printer,dart,3,1.14
11,printer,dart,3,1.14
21,printer,dart,3,1.15
2,printer,stable,3,1.44
4,printer,stable,3,1.67
12,printer,stable,3,3.17
3,construction,basic,3,4.42
6,construction,basic,3,4.66
19,construction,basic,3,4.74
9,construction,dart,3,1.35
23,construction,dart,3,1.35
27,construction,dart,3,1.37
1,construction,stable,3,1.96
8,construction,stable,3,2.01
24,construction,stable,3,2.72
